# r  g_300K  g_600K  g_900K
4.31 0.874837 0.885177 0.959132
4.33 0.915572 0.903926 0.967259
4.35 0.903756 0.939414 0.939127
4.37 0.914789 0.991624 0.954647
4.39 0.945757 0.958979 0.976026
4.41 1.01553 0.951353 1.02005
4.43 1.01867 1.00489 0.952707
4.45 1.02904 1.01414 1.04011
4.47 1.06521 1.03915 1.03269
4.49 1.02184 1.0442 0.979407
4.51 1.0228 1.03584 1.04746
4.53 1.0214 0.994553 0.990847
4.55 1.01692 0.976867 0.959687
4.57 1.00313 1.01817 0.968753
4.59 0.972101 1.02752 0.978441
4.61 0.962391 1.00196 0.948013
4.63 0.971335 0.946806 1.00059
4.65 0.968104 0.97012 0.986704
4.67 1.00678 0.978984 0.983912
4.69 0.989418 0.959976 0.982264
4.71 0.978529 0.984925 0.962167
4.73 0.992211 0.965882 1.0302
4.75 0.992009 0.977576 0.971837
4.77 1.0048 1.00819 1.00316
4.79 1.00809 1.00263 1.03554
4.81 1.03286 1.01413 1.01486
4.83 0.994643 1.03124 0.987593
4.85 0.999433 1.00101 1.0362
4.87 0.984598 1.00218 1.01872
4.89 1.03451 1.03678 1.03663
4.91 1.01687 0.997129 1.00107
4.93 0.963073 1.02694 1.01102
4.95 1.00386 0.987533 1.00176
4.97 1.02129 0.984494 1.0116
4.99 1.04947 1.00799 0.987347
5.01 0.982209 1.02039 1.02242
5.03 0.974056 0.99203 1.00274
5.05 1.01195 1.01702 0.973399
5.07 1.02016 0.985495 1.03028
5.09 1.00184 0.975974 1.0131
5.11 0.969579 1.01755 1.01237
5.13 0.998582 1.00185 1.04895
5.15 1.03438 1.00183 0.999859
5.17 1.00524 1.03024 1.02227
5.19 1.01233 1.03059 1.03983
5.21 1.04773 1.04611 1.05016
5.23 1.06164 1.04314 1.02603
5.25 1.03981 1.01903 1.05642
5.27 1.04564 1.08038 1.07359
5.29 1.06805 1.04661 1.04091
5.31 1.08333 1.06514 1.05982
5.33 1.1044 1.06174 1.04285
5.35 1.08911 1.04794 1.08677
5.37 1.1271 1.06436 1.05506
5.39 1.08063 1.05743 1.07168
5.41 1.0569 1.06933 1.05311
5.43 1.09978 1.07569 1.02608
5.45 1.03551 1.0668 1.02223
5.47 0.997082 1.04695 1.04213
5.49 0.994469 1.01061 1.00505
5.51 0.995136 1.01033 1.00673
5.53 0.964725 1.00185 0.996991
5.55 0.949095 0.968952 1.01808
5.57 0.950584 0.986245 0.989289
5.59 0.953272 0.97895 0.958013
5.61 0.967305 0.952199 0.984462
5.63 0.954919 0.952793 0.975689
5.65 0.971324 0.969627 0.969508
5.67 0.976797 0.992032 0.971281
5.69 0.989073 0.962701 0.935648
5.71 0.980709 0.965302 0.972616
5.73 0.988237 1.00871 0.999014
5.75 0.957088 0.989421 0.948741
5.77 0.982055 0.973606 0.942989
5.79 0.979705 1.00132 0.979195
5.81 0.972708 0.980393 1.0019
5.83 0.969316 0.994431 1.00268
5.85 0.976748 0.978752 1.01669
5.87 1.00837 0.960997 0.980999
5.89 0.987945 1.01944 1.0204
5.91 1.01937 1.01837 0.990749
5.93 1.02012 0.995325 0.986724
5.95 1.03857 1.0149 1.01574
5.97 1.05886 1.03822 1.01426
5.99 1.02475 1.04011 1.05418
6.01 1.02637 1.03866 1.02597
6.03 1.04728 1.0537 1.02946
6.05 1.05902 1.06023 1.02772
6.07 1.03897 1.03536 1.03062
6.09 1.03645 1.03253 1.04958
6.11 1.00867 1.02803 1.04874
6.13 1.05048 1.05111 1.03569
6.15 1.03561 1.02334 1.00994
6.17 1.0296 1.05729 1.01174
6.19 1.02903 1.04171 1.0482
6.21 1.05565 0.999125 1.01022
6.23 1.02201 1.01381 1.00608
6.25 1.02566 1.0049 1.01701
6.27 1.01442 1.0182 1.01337
6.29 1.0206 1.0068 1.02013
6.31 0.998357 0.969947 1.01492
6.33 0.991832 1.00439 1.01242
6.35 1.00392 1.00444 0.982766
6.37 0.970317 1.00067 0.9961
6.39 0.977118 0.995819 0.986437
6.41 0.942273 0.983449 0.985656
6.43 0.969919 0.979871 0.982045
6.45 0.978569 0.962574 0.987892
6.47 0.979375 0.984862 1.00302
6.49 0.992415 0.979475 0.995285
6.51 0.995026 0.992085 1.00357
6.53 1.02339 1.00266 0.985107
6.55 1.03006 0.983054 0.993533
6.57 1.03002 0.971331 1.01615
6.59 1.01587 1.02628 1.0158
6.61 1.01946 1.0045 1.02553
6.63 1.01652 1.00585 1.01784
6.65 0.989099 1.02573 1.00203
6.67 1.01491 1.0217 1.00925
6.69 1.01565 0.99103 0.993614
6.71 0.996084 0.98513 1.01423
6.73 1.00181 1.02341 1.02804
6.75 1.00576 1.01578 1.01301
6.77 1.01173 1.00534 1.03152
6.79 1.0072 0.993549 0.998171
6.81 0.998487 0.995768 1.00949
6.83 0.998013 1.02419 0.989191
6.85 0.996525 0.999616 1.03449
6.87 0.988745 1.00348 1.03298
6.89 1.00989 1.00885 1.00174
6.91 1.03303 1.00964 1.00637
6.93 1.02538 0.987129 1.00602
6.95 1.00458 1.02696 1.03335
6.97 1.0334 1.00264 1.00664
6.99 1.01329 1.01349 1.01103
7.01 0.996637 1.04824 0.976699
7.03 1.01322 1.02986 1.01854
7.05 1.00058 1.01124 1.01484
7.07 1.011 1.01195 1.01023
7.09 1.03067 1.03156 1.01626
7.11 1.03804 1.01274 1.00095
7.13 1.01389 1.00633 1.01445
7.15 1.02592 1.01472 1.02508
7.17 1.01356 1.00669 1.01228
7.19 1.00362 1.00057 1.03277
7.21 1.01637 1.02865 1.00541
7.23 1.01623 1.02008 1.04332
7.25 0.986562 1.01708 1.01672
7.27 1.02847 1.03199 1.03259
7.29 1.04262 1.02479 1.02621
7.31 1.03594 1.01908 1.02364
7.33 1.05297 1.02609 0.999005
7.35 1.04176 1.02759 1.02855
7.37 1.05379 1.04446 1.03685
7.39 1.03881 1.03862 1.03352
7.41 1.02092 1.00817 1.03414
