# r  g_300K  g_600K  g_900K
4.09 0.944106 1.02301 0.98639
4.11 1.00251 0.998778 1.05303
4.13 0.953651 0.981302 1.02839
4.15 0.993554 1.0139 1.00514
4.17 1.06271 1.08342 1.05151
4.19 1.14542 1.05906 1.06394
4.21 1.11984 1.10083 1.0838
4.23 1.17843 1.09333 1.09282
4.25 1.19528 1.15847 1.06058
4.27 1.16451 1.07119 1.07701
4.29 1.11651 1.12443 1.10187
4.31 1.08865 1.09894 1.09533
4.33 1.11335 1.07212 1.08601
4.35 1.03946 1.09968 1.06483
4.37 1.07173 1.13006 1.07224
4.39 1.06706 1.04397 1.09612
4.41 1.05485 1.09524 1.14706
4.43 1.12502 1.12724 1.1342
4.45 1.12645 1.18671 1.11489
4.47 1.10422 1.13922 1.10579
4.49 1.15011 1.15829 1.17794
4.51 1.12948 1.10197 1.23555
4.53 1.1783 1.16105 1.20132
4.55 1.21593 1.16523 1.20596
4.57 1.25673 1.23365 1.2223
4.59 1.26586 1.21603 1.26027
4.61 1.27867 1.19769 1.19738
4.63 1.25554 1.21487 1.17542
4.65 1.27188 1.25755 1.1882
4.67 1.19457 1.24402 1.17585
4.69 1.11699 1.22734 1.17847
4.71 1.11416 1.10446 1.15011
4.73 1.10181 1.21409 1.1372
4.75 1.15028 1.12866 1.11679
4.77 1.10563 1.11869 1.10597
4.79 1.0666 1.10574 1.08954
4.81 1.12811 1.1208 1.03838
4.83 1.1118 1.09526 1.06119
4.85 1.13176 1.06526 1.0593
4.87 1.07719 1.08434 1.08957
4.89 1.09837 1.02944 1.06483
4.91 1.01313 1.01695 0.999904
4.93 1.00216 1.07092 1.09778
4.95 1.03329 1.04351 1.05265
4.97 0.994012 0.984503 1.0775
4.99 0.934436 0.969536 1.04313
5.01 0.965283 0.992382 1.01504
5.03 0.973037 1.07407 1.01555
5.05 0.94873 0.997475 1.04694
5.07 1.02876 0.984384 1.00533
5.09 0.997978 1.00208 1.03695
5.11 1.01323 0.992986 1.02128
5.13 1.03747 0.988954 1.01198
5.15 1.05284 1.06375 0.969252
5.17 1.06603 1.0051 0.987804
5.19 1.0161 1.02964 1.02617
5.21 0.993338 1.00294 0.993316
5.23 1.00839 1.01633 1.01051
5.25 1.0173 1.03363 1.02554
5.27 0.991372 0.959644 1.06352
5.29 1.0054 0.961687 1.01011
5.31 0.975328 1.00924 1.05052
5.33 1.04661 1.04032 1.03851
5.35 1.08429 1.08362 1.11733
5.37 1.05469 1.0664 1.05118
5.39 1.08669 1.06707 1.02757
5.41 1.06138 1.05469 1.05203
5.43 1.07075 1.08479 1.05034
5.45 1.04598 1.10281 1.07668
5.47 1.04262 1.05089 1.09301
5.49 1.06581 1.08568 1.06869
5.51 1.07315 1.06385 1.06371
5.53 1.06592 1.08663 1.11802
5.55 1.0842 1.13485 1.10462
5.57 1.0806 1.05629 1.0377
5.59 1.09366 1.10082 1.07972
5.61 1.1113 1.06213 1.10943
5.63 1.1081 1.07844 1.09176
5.65 1.09201 1.13044 1.07833
5.67 1.08025 1.09299 1.05071
5.69 1.09183 1.03096 1.12743
5.71 1.11118 1.06457 1.07603
5.73 1.02652 1.01315 1.05191
5.75 1.0455 1.05572 1.04357
5.77 1.02361 1.04002 1.04241
5.79 1.02577 1.07063 1.01887
5.81 0.954555 1.00628 1.05158
5.83 0.993079 1.03758 1.02437
5.85 1.02005 1.03335 1.01355
5.87 1.04574 0.994388 1.02109
5.89 1.05833 1.00474 0.996811
5.91 1.03069 1.05248 1.02425
5.93 1.05568 1.06449 1.03005
5.95 1.08769 1.06344 1.04773
5.97 1.10554 1.04891 1.02643
5.99 1.09183 1.05056 1.07152
6.01 1.08727 1.05634 1.06314
6.03 1.05771 1.07552 1.04242
6.05 1.05027 1.02667 1.06442
6.07 1.01111 1.05429 1.04398
6.09 1.03298 1.05181 1.046
6.11 1.00669 1.04399 1.06443
6.13 1.00267 1.00714 1.0021
6.15 1.00179 1.01656 1.01252
6.17 0.992705 0.993629 1.00652
6.19 1.00753 1.02709 0.972101
6.21 0.970166 0.972 0.974788
6.23 0.957308 0.971238 1.00175
6.25 0.945366 0.929295 1.03113
6.27 0.948043 0.955127 0.982246
6.29 0.974094 0.973522 0.968497
6.31 0.97126 0.996225 0.957824
6.33 0.996003 0.950144 0.990034
6.35 0.978813 0.953541 0.984987
6.37 0.997154 0.977844 0.986875
6.39 0.984094 0.965706 0.974339
6.41 0.960559 0.974929 1.00786
6.43 0.929002 0.976077 1.00018
6.45 0.972182 1.0027 0.972594
6.47 0.957993 0.976141 0.949568
6.49 0.959513 0.998633 1.01509
6.51 0.999667 0.985092 1.02276
6.53 1.01533 1.01064 0.977502
6.55 1.05282 0.995283 0.998158
6.57 1.06074 1.06068 1.05354
6.59 1.08611 1.05773 1.01414
6.61 1.05313 1.07384 1.02655
6.63 1.08456 1.07446 1.06163
6.65 1.09575 1.08092 1.03961
6.67 1.04638 1.07751 1.0334
6.69 1.05208 1.04905 1.00471
6.71 1.03169 1.05266 1.02984
6.73 1.02777 0.992457 1.03474
6.75 1.00493 1.05645 1.04636
6.77 0.98827 1.03795 1.00662
6.79 1.00229 1.04116 1.02366
6.81 0.98236 1.0241 1.00773
6.83 1.01118 1.00817 1.01596
6.85 0.992468 0.985194 1.03213
6.87 1.0139 0.985005 1.03024
6.89 1.03751 1.03333 1.05432
6.91 1.04481 1.04035 1.05153
6.93 1.07641 1.05011 1.02945
6.95 1.10129 1.0855 1.1202
6.97 1.12174 1.06471 1.05089
