# r  g_300K  g_600K  g_900K
4.33 1.05608 1.07149 1.02121
4.35 1.05574 1.03169 0.958392
4.37 1.06422 1.16633 1.08979
4.39 1.06119 0.97658 1.0391
4.41 1.13402 1.03962 1.07235
4.43 1.11499 1.12168 1.10781
4.45 1.11153 1.14256 1.15525
4.47 1.05186 1.11667 1.1056
4.49 1.10042 1.27152 1.0041
4.51 1.16097 1.28408 1.13783
4.53 1.16771 1.18326 1.20034
4.55 1.13655 1.16861 1.16671
4.57 1.22613 1.20043 1.08499
4.59 1.17018 1.10492 1.11752
4.61 1.16021 1.10762 1.13649
4.63 1.04096 1.06538 1.11662
4.65 1.18248 1.11681 1.29972
4.67 1.16821 1.16167 1.19808
4.69 1.07749 1.09994 1.17378
4.71 1.15636 1.21068 1.20548
4.73 1.26859 1.13032 1.14617
4.75 1.18307 1.2815 1.19308
4.77 1.24739 1.1863 1.1619
4.79 1.2351 1.22957 1.1657
4.81 1.34284 1.28745 1.1938
4.83 1.32812 1.23563 1.21239
4.85 1.34104 1.23457 1.25445
4.87 1.33361 1.27425 1.26826
4.89 1.3083 1.25469 1.23951
4.91 1.29768 1.26079 1.30781
4.93 1.19096 1.21471 1.20156
4.95 1.23966 1.2262 1.17029
4.97 1.17352 1.21635 1.34929
4.99 1.15721 1.19098 1.17298
5.01 1.13597 1.13969 1.16862
5.03 1.11824 1.10981 1.1161
5.05 1.01773 1.11498 1.12613
5.07 1.13954 1.03294 1.06461
5.09 1.08216 1.07894 1.12211
5.11 1.0023 1.05366 1.10141
5.13 1.02577 1.16824 1.00613
5.15 1.02272 1.04886 0.990065
5.17 0.964525 1.00802 0.987446
5.19 0.94097 1.02316 0.997703
5.21 0.922719 0.99434 1.04032
5.23 0.937797 0.980279 0.955274
5.25 0.844241 0.873133 0.89232
5.27 0.870641 0.87277 0.89017
5.29 0.879447 0.852137 0.933677
5.31 0.839067 0.924662 0.889436
5.33 0.838885 0.833167 0.88433
5.35 0.862995 0.858974 0.938926
5.37 0.868479 0.792141 0.89389
5.39 0.863579 0.859893 0.928203
5.41 0.934175 0.872897 0.967639
5.43 0.89939 0.869481 0.924786
5.45 0.939508 0.893897 0.847219
5.47 0.993493 0.96181 0.898319
5.49 0.907104 0.854907 0.925199
5.51 0.88628 0.897593 0.892302
5.53 0.919623 0.881228 0.870193
5.55 0.957917 0.932907 0.986661
5.57 0.898021 0.937537 0.925722
5.59 0.888936 0.888752 0.927464
5.61 0.878415 0.920175 0.957171
5.63 0.90765 0.912106 0.88395
5.65 0.847049 0.911183 0.957459
5.67 0.873333 0.87483 0.898745
5.69 0.88065 0.868712 0.9211
5.71 0.873154 0.896101 0.922608
5.73 0.864404 0.936378 0.863963
5.75 0.868908 0.887719 0.839207
5.77 0.804355 0.884098 0.857225
5.79 0.946103 0.926269 0.919585
5.81 0.89981 0.834428 0.947117
5.83 0.858025 0.8814 0.896456
5.85 0.895154 0.903487 0.895645
5.87 0.965796 0.916369 0.977594
5.89 0.898041 0.905123 0.873486
5.91 0.954028 0.967819 0.8927
5.93 0.916715 0.918967 0.941506
5.95 0.897137 0.948713 0.977509
5.97 0.983575 0.999951 0.94118
5.99 1.01439 0.905473 0.996381
6.01 0.974107 1.00465 1.04799
6.03 0.998632 0.971591 0.987929
6.05 0.967185 0.991609 1.05087
6.07 1.05138 1.01344 1.04409
6.09 1.06202 1.05264 1.07163
6.11 1.08185 1.00734 1.01645
6.13 1.09655 1.04714 1.06462
6.15 1.14114 1.0739 1.01374
6.17 1.14508 1.07836 0.99776
6.19 1.14777 1.10898 1.04048
6.21 1.17644 1.06108 1.08864
6.23 1.14093 1.05102 1.08728
6.25 1.05049 1.10351 1.08827
6.27 0.980932 1.10872 1.03995
6.29 0.976902 1.03667 0.981198
6.31 1.00992 1.0453 1.049
6.33 0.974308 1.00497 1.02138
6.35 0.982205 0.97471 0.988718
6.37 0.996311 0.97835 0.990293
6.39 1.00605 1.07271 1.08406
6.41 1.04509 1.0267 0.972509
6.43 0.997691 1.0531 0.960276
6.45 1.02692 1.0341 0.975272
6.47 1.02994 0.998319 1.07209
6.49 1.06374 1.04931 1.04885
6.51 1.09501 1.00575 1.04331
6.53 1.05378 1.00472 1.03811
6.55 1.05646 1.08005 1.04192
6.57 1.10323 1.02787 1.01439
6.59 1.02371 1.09605 1.05667
6.61 1.073 1.04364 1.0604
6.63 1.05378 1.04122 1.08895
6.65 1.03176 1.02521 1.01191
6.67 1.03629 1.03268 0.997998
6.69 1.0088 0.969971 1.05981
6.71 0.966267 0.939909 0.959737
6.73 0.981513 0.975828 0.980208
6.75 0.942515 0.97966 0.943529
6.77 0.992712 0.987179 1.05765
6.79 0.967097 0.978535 0.988695
6.81 0.970826 0.995292 0.942039
6.83 0.942787 1.1085 1.01664
6.85 1.0056 1.06656 1.01271
6.87 1.03744 1.03083 0.991912
6.89 0.994924 0.973291 1.0028
6.91 1.00185 1.02632 1.04939
6.93 1.0917 1.08397 1.03423
6.95 1.06668 1.10485 1.05474
6.97 1.09618 1.02838 0.979881
6.99 1.06422 1.02874 0.977794
7.01 1.04046 1.02922 0.9999
7.03 1.06704 1.03129 1.07868
7.05 1.08111 1.05974 1.08141
7.07 1.05584 1.11834 1.09995
7.09 1.02319 1.05293 1.11555
7.11 0.996012 1.00817 1.03726
7.13 1.01513 1.03515 1.003
7.15 1.01541 1.00806 1.05127
7.17 1.00971 1.02619 1.01824
7.19 1.02759 1.05003 1.02188
7.21 1.06435 1.03155 1.02131
7.23 1.03039 1.08784 1.04674
7.25 1.06011 1.0136 1.05196
7.27 1.03059 1.03289 0.988777
7.29 1.06081 1.06254 1.02135
7.31 1.0428 0.991403 0.999276
7.33 1.0202 1.02086 1.04384
7.35 1.04432 1.03726 1.04621
7.37 0.957211 0.964084 0.966001
7.39 0.952161 0.965286 0.950461
7.41 0.928021 0.965606 0.998136
7.43 0.873575 0.970706 0.988804
7.45 0.891617 0.921398 0.980289
7.47 0.914738 0.920432 0.933317
7.49 0.920677 0.966937 0.937784
7.51 0.900447 0.922163 0.920266
7.53 0.96828 0.942714 0.979636
7.55 1.01248 0.959316 0.970639
7.57 0.988296 0.966361 1.02609
7.59 1.0064 0.992404 0.948369
7.61 1.06397 0.988637 1.03653
7.63 1.04423 1.01357 0.945938
7.65 1.11434 1.01941 1.01818
7.67 1.02006 1.03336 0.996512
7.69 1.05368 1.01557 1.00095
7.71 1.01826 1.07332 1.05333
7.73 0.950653 0.965534 0.980341
7.75 0.994174 1.0536 1.01393
7.77 0.970398 1.01127 1.03008
7.79 0.968962 0.988838 1.00512
7.81 0.990959 0.988757 0.987845
7.83 0.999329 0.976569 0.984956
7.85 0.929593 0.990017 0.977775
7.87 0.951445 0.999728 1.02322
7.89 1.00508 1.00177 1.00881
7.91 0.975093 0.976596 0.966348
7.93 1.04326 0.993778 1.01039
7.95 0.972169 0.995077 0.976989
7.97 0.952324 0.950942 0.935306
7.99 1.03778 1.01043 0.982292
