# r  g_300K  g_600K  g_900K
4.33 0.920113 0.939486 0.951885
4.35 0.970391 0.933678 0.882111
4.37 0.920676 0.887404 0.949994
4.39 0.954165 0.939591 0.939121
4.41 0.958441 0.898174 0.937467
4.43 0.927581 0.964776 0.962632
4.45 0.932633 0.943982 0.969507
4.47 0.963985 0.947539 0.907941
4.49 0.933816 0.939864 0.920277
4.51 0.965214 0.961093 0.998684
4.53 0.997335 0.895922 0.931117
4.55 0.912466 0.926191 0.929947
4.57 0.881127 0.913563 0.93523
4.59 0.882274 0.890468 0.913834
4.61 0.8728 0.889035 0.915457
4.63 0.90594 0.889499 0.914435
4.65 0.916531 0.913265 0.924565
4.67 0.865004 0.880369 0.893221
4.69 0.917204 0.88874 0.886843
4.71 0.928521 0.899691 0.909511
4.73 0.89465 0.880906 0.905428
4.75 0.873039 0.90299 0.86937
4.77 0.880259 0.877851 0.879713
4.79 0.858494 0.891414 0.853184
4.81 0.830823 0.893337 0.882525
4.83 0.873861 0.877847 0.869461
4.85 0.884123 0.885495 0.923955
4.87 0.884168 0.943387 0.862684
4.89 0.861385 0.931717 0.876365
4.91 0.888396 0.898202 0.9043
4.93 0.899184 0.928831 0.944293
4.95 0.932965 0.914141 0.925807
4.97 0.931979 0.944077 0.926023
4.99 0.960553 0.966401 0.947176
5.01 0.972939 0.935581 0.940627
5.03 0.978832 0.958164 0.927413
5.05 0.951923 0.987106 0.955297
5.07 1.01594 0.990245 0.999346
5.09 1.03909 0.981414 0.980082
5.11 1.0158 1.03508 1.00018
5.13 1.07627 1.03005 1.02756
5.15 1.0385 1.04269 1.00851
5.17 1.04681 1.03513 1.05333
5.19 1.08542 1.04702 1.01335
5.21 1.06978 1.03744 1.07032
5.23 1.07131 1.05826 1.00541
5.25 1.08855 1.04403 1.07121
5.27 1.06029 1.02938 0.999747
5.29 1.04097 1.07109 1.0243
5.31 1.00782 1.07101 0.961538
5.33 1.01938 1.0133 1.04163
5.35 1.02702 1.03133 1.03108
5.37 1.01116 1.00104 1.00331
5.39 0.986312 0.981749 1.03831
5.41 0.979953 0.996734 1.0764
5.43 0.976758 0.999003 1.02538
5.45 0.962037 0.973239 1.02463
5.47 0.928499 0.965255 0.970617
5.49 0.925714 0.978126 0.980432
5.51 0.913764 0.996953 0.966226
5.53 0.954746 0.938789 0.917592
5.55 0.942732 0.937654 1.00813
5.57 0.958147 0.957553 0.979227
5.59 0.953853 0.992936 0.969333
5.61 0.999983 0.965543 0.981937
5.63 1.03047 1.00834 0.999803
5.65 1.017 1.00157 0.981568
5.67 1.0473 0.982953 0.979198
5.69 1.05871 1.02056 0.932563
5.71 1.00629 1.02932 0.995519
5.73 1.01862 1.06152 0.992234
5.75 1.0535 1.00954 1.03899
5.77 1.01606 1.02365 1.03899
5.79 1.05247 1.02013 1.03102
5.81 1.03151 1.01166 0.993371
5.83 1.01862 1.01646 1.06618
5.85 1.02711 0.982606 0.973153
5.87 1.02973 1.01621 0.976671
5.89 1.02733 1.00042 0.985897
5.91 0.9965 1.01242 1.02416
5.93 0.99168 0.968746 1.00471
5.95 0.953225 0.977054 0.984317
5.97 0.978084 0.955829 0.976908
5.99 0.921041 0.933138 0.971927
6.01 0.931007 0.96569 0.981066
6.03 0.948536 0.951651 0.980761
6.05 0.904255 0.923794 0.978712
6.07 0.952949 0.965116 0.970448
6.09 0.946996 0.955913 0.94895
6.11 0.969935 0.958258 0.973653
6.13 0.970968 0.908341 0.934382
6.15 0.970656 0.967717 0.977964
6.17 0.982731 0.96497 0.943794
6.19 0.950162 0.96919 0.958453
6.21 0.970496 1.00195 0.963726
6.23 0.995319 0.985253 0.952314
6.25 0.986225 0.998084 0.966247
6.27 0.942604 0.957183 0.994433
6.29 0.95129 0.986062 0.95668
6.31 0.976488 1.00898 0.977584
6.33 0.974328 1.01628 0.978036
6.35 1.00951 1.00823 0.98417
6.37 1.06059 0.985454 1.01668
6.39 1.0225 1.01225 1.00741
6.41 1.04769 1.05078 0.990698
6.43 1.03286 1.0069 1.00269
6.45 1.04397 0.978458 0.955525
6.47 1.01637 1.01712 1.00635
6.49 1.03208 1.03671 1.01508
6.51 0.996736 0.984507 1.02822
6.53 1.01636 0.995582 1.00961
6.55 0.980889 1.00291 1.00501
6.57 0.930793 1.00944 0.984286
6.59 0.956229 0.980662 0.976171
6.61 0.954683 0.939583 1.00717
6.63 0.950741 0.992539 0.994628
6.65 0.956688 0.959514 1.01952
6.67 0.953004 0.991723 0.979194
6.69 0.982821 0.963201 1.00023
6.71 0.944061 0.975194 0.994291
6.73 0.978771 1.01569 0.966197
6.75 0.988101 0.973086 0.965485
6.77 0.967252 0.992606 0.996642
6.79 0.988833 0.993379 0.984918
6.81 1.01493 1.01608 0.989251
6.83 1.01184 0.993223 0.98754
6.85 1.01866 1.0222 0.997777
6.87 1.00822 1.01481 1.00331
