# r  g_300K  g_600K  g_900K
3.95 0.976926 0.979455 0.981607
3.97 0.975301 0.956389 0.992663
3.99 0.989096 0.961751 0.98256
4.01 0.990067 0.974841 0.9925
4.03 0.979814 0.985086 0.963948
4.05 0.999522 1.00207 0.990869
4.07 0.988546 0.975629 0.98951
4.09 1.00081 0.999632 0.994373
4.11 1.00881 1.00691 0.988783
4.13 1.00168 0.976164 1.01618
4.15 1.02095 1.04255 1.01153
4.17 1.04879 1.02632 1.00943
4.19 1.05327 1.01841 1.01533
4.21 1.03701 1.03375 1.04288
4.23 1.04707 1.0347 1.02236
4.25 1.01518 1.0403 1.02895
4.27 1.02939 1.03437 0.994195
4.29 1.01679 1.02369 1.01147
4.31 0.972027 1.01649 1.03393
4.33 0.992057 1.00704 1.00978
4.35 0.987829 1.00614 0.974237
4.37 0.979201 1.01584 0.998342
4.39 0.990267 0.981381 0.997414
4.41 1.00477 0.97817 1.01808
4.43 1.00809 1.02897 1.00916
4.45 1.01753 1.03312 1.02663
4.47 1.01814 1.02351 1.00116
4.49 1.01843 1.02372 1.00322
4.51 1.04321 1.02693 1.04657
4.53 1.05243 1.00596 1.0183
4.55 1.03811 1.01025 1.00767
4.57 1.00914 1.02482 1.02216
4.59 0.996991 1.01144 1.01703
4.61 1.00728 0.9993 1.00336
4.63 0.979498 0.992434 1.01259
4.65 1.01593 0.994917 1.01863
4.67 1.00144 1.00524 0.996613
4.69 0.998833 0.996474 1.00428
4.71 1.00622 0.993798 0.993051
4.73 1.00897 0.998678 0.999363
4.75 1.0104 0.996197 0.993368
4.77 1.00542 0.991053 0.977429
4.79 0.9696 0.985487 0.98315
4.81 0.974793 0.991852 0.977615
4.83 0.950951 0.981178 0.968266
4.85 0.947993 0.961782 0.972398
4.87 0.950527 0.966585 0.964031
4.89 0.946925 0.957864 0.953268
4.91 0.923182 0.948049 0.932424
4.93 0.911139 0.946935 0.95433
4.95 0.941656 0.921909 0.952007
4.97 0.945448 0.948122 0.956862
4.99 0.941266 0.941596 0.940817
5.01 0.929885 0.933538 0.941114
5.03 0.92243 0.939264 0.935983
5.05 0.930815 0.94003 0.948181
5.07 0.959249 0.936811 0.943366
5.09 0.953223 0.950013 0.956002
5.11 0.95298 0.955871 0.959319
5.13 0.963625 0.950139 0.962464
5.15 0.975502 0.962874 0.949984
5.17 0.957687 0.986079 0.956908
5.19 0.972739 0.986742 0.969413
5.21 0.976764 0.977636 0.983161
5.23 0.996431 0.980755 0.970312
5.25 0.984632 0.976063 0.979581
5.27 1.00207 0.972089 1.0026
5.29 0.992946 0.974657 0.996215
5.31 0.994571 1.00689 0.976325
5.33 1.01178 0.998219 1.00014
5.35 1.00876 1.00117 1.00785
5.37 1.01278 0.9959 0.995383
5.39 1.00108 1.00801 1.00708
5.41 1.0066 1.00734 1.00961
5.43 1.02085 1.0058 1.00776
5.45 1.00168 0.995475 1.00572
5.47 0.990148 1.00993 1.00554
5.49 1.00215 1.00921 1.00852
5.51 0.996016 1.003 1.00233
5.53 0.992337 0.999735 1.00351
5.55 0.999019 1.00265 1.00934
5.57 0.994467 1.00158 1.0092
5.59 1.00709 1.00667 0.989997
5.61 1.00142 0.998309 1.02402
5.63 1.01228 1.01195 1.02014
5.65 1.01943 1.0198 1.01109
5.67 1.02152 1.01234 1.00581
5.69 1.02259 0.998453 1.00182
5.71 1.03095 1.0227 1.02647
5.73 1.02342 1.02391 1.02069
5.75 1.02949 1.02252 1.02026
5.77 1.02457 1.02593 1.01137
5.79 1.02608 1.03049 1.02153
5.81 1.01252 1.02511 1.02374
5.83 1.0145 1.02929 1.03026
5.85 1.01279 1.0169 1.01305
5.87 1.02377 1.00706 1.01116
5.89 1.02301 1.01388 1.01353
5.91 1.01975 1.02428 1.01596
5.93 1.01395 1.00511 1.01824
5.95 1.01902 1.01281 1.01802
5.97 1.03272 1.01364 0.998369
5.99 1.01835 1.00932 1.03088
6.01 1.01709 1.01978 1.00513
6.03 1.00737 1.02067 1.01775
6.05 1.00009 1.00136 1.03071
6.07 1.01029 1.02165 1.01664
6.09 1.01299 1.01766 1.01634
6.11 1.00282 1.01183 1.02507
6.13 1.00726 1.00997 1.00059
6.15 1.01763 1.00823 1.00235
6.17 1.01916 1.02498 1.00487
6.19 1.01637 1.01076 1.01239
6.21 1.02785 1.01001 0.998206
6.23 1.03197 1.00924 1.00882
6.25 1.02245 1.01814 1.02422
6.27 1.00799 1.02539 1.0081
6.29 1.01238 1.0082 1.00801
6.31 1.00781 1.00972 1.0138
6.33 1.00244 1.00683 1.00031
6.35 1.00345 1.00196 0.995864
6.37 1.00081 1.00573 1.00886
6.39 0.995509 1.00909 1.00619
6.41 0.994393 0.999414 1.00483
6.43 0.981072 0.996226 0.989997
6.45 0.999039 0.991251 0.983721
6.47 0.98681 0.994458 0.997668
6.49 0.985122 1.00035 1.00614
6.51 0.995013 1.00048 1.00936
6.53 1.00717 0.99265 0.997612
6.55 0.999239 0.991972 0.996616
6.57 1.01037 0.993855 0.995828
6.59 0.993727 1.00702 0.997228
6.61 1.00439 0.998412 1.0076
6.63 1.00314 0.999667 1.00999
6.65 1.00418 1.00259 1.00326
6.67 0.995621 1.01188 1.00335
6.69 1.00461 0.996903 0.993817
6.71 0.99196 0.998872 1.00164
6.73 0.991134 0.999315 1.00225
6.75 0.996044 0.999754 1.00284
6.77 0.994502 0.994955 0.997877
6.79 0.9927 0.999538 1.00106
6.81 0.985283 0.992742 0.993001
6.83 0.992337 1.00221 0.992015
6.85 1.00305 0.999051 1.0049
6.87 0.987173 0.995774 0.997208
6.89 0.993063 0.989798 1.00232
6.91 0.999233 1.00462 1.00147
6.93 1.00004 0.988349 0.996224
6.95 1.00069 1.00282 1.00986
6.97 1.00044 0.99639 0.993866
6.99 1.00868 1.00027 0.993297
7.01 0.993328 1.00307 0.999239
7.03 1.01305 1.01498 1.0091
7.05 1.00856 1.00679 1.00712
7.07 1.00688 1.0163 1.01077
7.09 1.01724 1.0039 1.00366
7.11 1.0199 0.996922 1.00913
7.13 1.02433 1.00855 1.01043
7.15 1.02569 1.00824 1.00747
7.17 1.01406 1.01484 1.0073
7.19 1.01462 1.01145 1.00523
7.21 1.02653 1.01708 1.00753
7.23 1.02247 1.01748 1.01545
7.25 1.01019 1.01767 1.01504
7.27 1.01441 1.01679 1.00662
7.29 1.01684 1.00683 1.02017
7.31 1.01696 1.00224 0.999024
7.33 1.01148 1.01918 1.00748
7.35 1.01715 1.01733 1.00771
7.37 1.00364 1.00458 1.00845
7.39 0.994673 1.00087 1.01062
7.41 0.994468 1.00154 1.00597
7.43 0.98896 0.995216 1.00576
7.45 0.987047 0.994423 0.993528
7.47 0.986349 0.990223 1.00091
