# r  g_300K  g_600K  g_900K
4.15 0.949522 0.93016 1.05246
4.17 1.08363 1.10251 1.11707
4.19 1.19001 1.08099 1.06943
4.21 1.09209 1.1397 1.10699
4.23 1.24969 1.01045 1.18303
4.25 1.16002 1.13262 1.06074
4.27 1.1178 1.18947 1.06521
4.29 1.08648 1.05212 1.10081
4.31 1.0972 1.11496 1.14683
4.33 1.13465 1.07741 1.1393
4.35 1.05675 1.15267 1.0022
4.37 1.07705 1.05801 1.05759
4.39 1.10056 1.04147 1.01814
4.41 1.0182 1.07527 1.16493
4.43 1.0774 1.11474 1.17068
4.45 1.0874 1.21498 1.15729
4.47 1.23098 1.1109 1.13389
4.49 1.12495 1.15202 1.1624
4.51 1.15572 1.11932 1.28562
4.53 1.19234 1.1316 1.21129
4.55 1.20053 1.15288 1.19423
4.57 1.23877 1.36773 1.12517
4.59 1.28561 1.19119 1.2754
4.61 1.29862 1.15948 1.22471
4.63 1.2547 1.33267 1.17781
4.65 1.31492 1.24673 1.18532
4.67 1.21263 1.1358 1.16682
4.69 1.1181 1.25188 1.17114
4.71 1.08274 1.14279 1.19628
4.73 1.09073 1.22518 1.17478
4.75 1.17224 1.20882 1.04144
4.77 1.04165 1.1621 1.08382
4.79 0.957788 1.13279 0.95936
4.81 1.12655 1.07057 1.04333
4.83 1.14193 1.04236 0.985392
4.85 1.10538 0.995351 1.02382
4.87 1.13132 1.09618 1.13567
4.89 1.11133 1.04125 1.05598
4.91 1.02558 1.01118 0.998549
4.93 1.00145 0.979391 1.15588
4.95 1.01947 1.00039 1.04886
4.97 0.925863 1.04694 1.03238
4.99 0.91837 0.953606 1.07626
5.01 1.03087 1.02003 1.12973
5.03 0.936786 1.03742 1.01075
5.05 0.986965 0.938677 1.04569
5.07 1.01414 1.02848 0.944462
5.09 0.983872 0.970972 1.10466
5.11 1.0152 1.00034 0.98182
5.13 1.08982 1.0657 1.05269
5.15 1.02611 1.08459 1.01279
5.17 1.02772 0.989285 0.954209
5.19 1.05778 1.01984 0.980751
5.21 1.04027 1.01679 0.984837
5.23 0.985607 0.994936 1.03643
5.25 1.01506 0.996581 0.995944
5.27 0.991415 0.922134 1.07226
5.29 0.958821 1.06215 1.09409
5.31 0.978855 1.03815 1.03786
5.33 1.09983 1.05986 1.02513
5.35 1.08911 1.11252 1.10374
5.37 1.04778 1.10656 1.03466
5.39 1.051 1.06298 0.956232
5.41 1.00413 1.00238 1.08805
5.43 1.08987 0.955776 1.06696
5.45 1.01733 1.11992 1.08305
5.47 1.09315 1.04066 1.06656
5.49 1.05555 1.03967 1.12535
5.51 1.06257 1.08702 1.04282
5.53 1.10929 1.1191 1.13048
5.55 1.08674 1.17197 1.12651
5.57 1.09549 1.11573 1.04962
5.59 1.08345 1.05005 1.137
5.61 1.06579 1.00762 1.03254
5.63 1.17106 1.14869 1.10106
5.65 1.08861 1.12846 1.03645
5.67 1.0293 1.11288 1.06704
5.69 1.07734 0.971706 1.0977
5.71 1.02671 1.05164 1.1079
5.73 0.972815 1.01715 0.977816
5.75 1.07242 1.09944 1.11224
5.77 1.05352 1.0086 1.05598
5.79 1.04996 1.05769 1.02722
5.81 0.91407 1.00036 1.00688
5.83 1.09952 1.07131 1.03972
5.85 1.05104 1.03573 1.01405
5.87 1.02715 0.998894 0.988473
5.89 1.07537 0.999565 0.958939
5.91 0.998603 1.01862 1.04883
5.93 1.03731 1.07215 1.05123
5.95 1.08628 1.05221 0.994492
5.97 1.07363 1.07783 0.997199
5.99 1.09148 1.06515 1.05723
6.01 1.09122 1.0331 1.0736
6.03 1.17191 1.14826 1.05578
6.05 1.07341 1.01399 1.03104
6.07 1.03176 1.04427 1.05055
6.09 1.02655 1.10505 1.0454
6.11 0.968686 1.01325 1.07173
6.13 1.01492 0.972664 1.04916
6.15 0.961074 1.03932 1.03366
6.17 0.995039 1.01225 0.947216
6.19 0.942041 1.03587 0.985158
6.21 0.998816 1.00117 1.00555
6.23 1.00735 0.900111 1.0109
6.25 0.955114 0.918976 1.05545
6.27 0.934408 0.944265 0.986346
6.29 0.993007 0.975731 0.973563
6.31 0.948308 0.969447 0.907266
6.33 0.956658 0.934294 0.998311
6.35 0.964863 0.925388 1.0628
6.37 1.00132 1.04473 1.06404
6.39 1.04039 0.954788 0.951236
6.41 0.963976 1.00529 1.0033
6.43 0.947139 0.955529 1.03957
6.45 0.950483 0.985102 0.997524
6.47 0.946245 1.04202 0.946333
6.49 0.998054 0.953034 0.98364
6.51 0.988838 0.99896 0.998907
6.53 1.00833 1.00034 0.98671
6.55 1.04386 0.976256 0.965665
6.57 1.06262 1.08046 1.04065
6.59 1.10471 1.0357 0.994324
6.61 1.08931 1.07338 0.988212
6.63 1.06095 1.02303 1.06626
6.65 1.05892 1.07207 0.950119
6.67 1.03247 1.06442 1.06516
6.69 1.03912 1.02918 1.03134
6.71 1.04705 1.0446 1.01505
6.73 1.01271 1.04433 1.02189
6.75 1.02635 1.0731 1.08982
6.77 0.97979 1.08923 0.98597
6.79 1.01437 1.0423 1.0656
6.81 0.951804 0.994617 0.992729
6.83 1.04355 1.01914 1.02979
6.85 0.957186 0.981754 1.01125
6.87 0.977314 1.03307 0.994303
6.89 1.06843 1.01384 1.02693
6.91 1.04621 1.06576 1.08306
6.93 1.08544 1.04626 1.0365
6.95 1.1031 1.08303 1.08952
6.97 1.16107 1.04753 1.06326
6.99 1.12318 1.07305 1.05731
7.01 1.11158 1.07881 1.08933
7.03 1.10263 1.05576 1.06745
7.05 1.07582 1.02526 1.11754
7.07 1.04543 1.12231 1.09708
7.09 1.02557 1.04698 1.02383
7.11 1.06915 1.00649 1.08211
7.13 1.01413 1.07318 1.04023
7.15 1.08847 1.0157 1.05732
7.17 0.980453 1.01111 1.04015
7.19 0.951513 1.03175 1.0044
7.21 1.00647 1.01855 1.0335
7.23 1.05835 1.0265 1.0587
7.25 1.01241 1.00623 1.02586
7.27 1.031 1.07605 0.953007
7.29 1.04228 1.03634 1.01454
7.31 1.0557 1.04495 0.96672
7.33 1.08911 1.02838 1.02888
7.35 1.0123 1.06235 1.0246
7.37 1.01857 0.97494 1.01541
7.39 1.02823 1.02384 0.990941
7.41 1.01917 1.0206 1.05035
7.43 1.02649 0.964929 1.03335
7.45 1.01169 1.02132 1.07553
7.47 0.996056 0.955774 0.968629
7.49 0.941725 0.956408 1.035
7.51 0.932205 0.979872 1.03992
7.53 0.935095 1.01087 0.937273
7.55 0.999702 0.99987 0.916399
7.57 0.924148 0.92514 0.983975
7.59 0.86725 1.00629 0.982161
7.61 0.946476 0.976593 0.988191
7.63 1.00296 0.996826 0.958468
7.65 0.942152 0.928904 0.996609
7.67 1.05445 0.979794 0.949656
7.69 0.957107 0.966048 0.990487
7.71 1.0231 0.982802 0.936452
7.73 1.02316 1.02071 1.0357
7.75 0.973237 1.02081 0.972194
7.77 1.05605 1.00702 1.06912
7.79 1.04958 1.09525 0.947272
7.81 1.07245 0.986085 1.0187
7.83 1.03996 0.94025 1.07478
7.85 1.0004 0.997064 0.980172
7.87 1.02733 1.03771 1.01478
7.89 0.97898 0.952925 1.00018
7.91 0.990363 1.03225 1.05114
7.93 0.977273 1.01592 0.961618
7.95 1.03095 1.02591 0.963877
7.97 0.985655 1.03413 1.02313
7.99 0.952673 1.00278 0.993911
