# r  g_300K  g_600K  g_900K
4.33 0.89649 0.88557 0.979718
4.35 0.942866 0.920893 0.966978
4.37 0.903884 1.00304 0.966852
4.39 0.945448 0.99301 0.961782
4.41 1.03372 0.980385 1.00872
4.43 1.01243 1.01429 0.935119
4.45 0.970392 1.02909 1.04637
4.47 1.0805 1.05464 1.03142
4.49 1.03318 1.03708 0.984955
4.51 1.07212 1.07908 1.0745
4.53 1.01858 0.986025 1.0051
4.55 1.01133 0.97296 0.969913
4.57 0.999882 1.01937 0.962245
4.59 0.965392 1.02278 0.96851
4.61 0.980118 0.985512 0.947232
4.63 0.955589 0.955725 1.00268
4.65 0.942409 0.972775 0.982025
4.67 1.01147 1.00233 0.980424
4.69 0.988095 0.940553 0.970266
4.71 1.01727 0.96135 1.00512
4.73 1.01609 0.943477 1.00645
4.75 0.97293 0.984926 0.994898
4.77 0.960799 1.00623 0.980899
4.79 1.02306 1.01301 1.04219
4.81 1.03965 1.01728 0.993231
4.83 0.997602 1.01899 0.993588
4.85 0.990991 1.00444 1.0047
4.87 0.939312 1.00465 1.02292
4.89 1.03698 1.0147 1.02071
4.91 1.03748 0.97169 1.03757
4.93 0.938214 1.05396 1.02237
4.95 1.02 1.00151 1.00737
4.97 1.01927 0.991206 1.02016
4.99 1.06861 1.03167 0.993669
5.01 0.970521 1.03292 0.990921
5.03 0.998622 1.00087 0.982091
5.05 1.00777 0.993619 0.964953
5.07 1.00197 0.936846 1.03533
5.09 0.996222 0.967601 1.02849
5.11 0.996698 0.999261 0.984601
5.13 1.00342 1.01631 1.06209
5.15 1.03465 1.00571 1.00394
5.17 1.02385 1.06482 1.04229
5.19 1.00733 1.03558 1.05612
5.21 1.0516 1.0406 1.03585
5.23 1.04223 1.06122 1.02123
5.25 1.05264 1.0194 1.06777
5.27 1.02322 1.09641 1.0798
5.29 1.086 1.04708 1.03669
5.31 1.09334 1.03987 1.05452
5.33 1.11823 1.06671 1.07818
5.35 1.05738 1.04981 1.07016
5.37 1.1362 1.05847 1.08461
5.39 1.05862 1.04182 1.05306
5.41 1.06196 1.05344 1.05775
5.43 1.10072 1.07359 1.0152
5.45 1.03482 1.06814 0.991594
5.47 1.01514 1.03655 1.06363
5.49 0.972319 0.999324 0.986422
5.51 0.980786 1.01856 0.99261
5.53 0.952995 1.00588 1.00708
5.55 0.969077 0.986803 1.03498
5.57 0.952741 1.00557 0.994275
5.59 0.964479 0.976843 0.979063
5.61 0.967379 0.967619 0.953345
5.63 0.967421 0.934226 0.983598
5.65 0.94698 0.979569 0.990688
5.67 0.976358 0.977197 0.976136
5.69 0.978447 0.959763 0.919499
5.71 0.991558 0.960712 0.948348
5.73 1.00951 1.01843 0.98376
5.75 0.963594 0.975106 0.949752
5.77 0.96452 0.990778 0.919432
5.79 0.959517 1.01493 0.981013
5.81 0.986171 0.989663 1.02921
5.83 0.942668 1.01341 0.998808
5.85 0.9622 0.956477 1.00448
5.87 1.03288 0.949936 0.951804
5.89 0.980956 1.00765 0.985456
5.91 1.0475 1.01385 1.0083
5.93 1.01264 1.00078 0.984306
5.95 1.03037 1.0131 1.04804
5.97 1.0601 1.04533 1.03239
5.99 1.00197 1.06883 1.04241
6.01 1.02644 1.00169 1.04372
6.03 1.08293 1.04115 1.02517
6.05 1.04756 1.05969 1.04187
6.07 1.02044 1.04188 1.02066
6.09 1.03043 1.05611 1.05835
6.11 1.01499 1.03597 1.03711
6.13 1.0662 1.06335 1.04127
6.15 1.04159 1.01196 1.02958
6.17 1.00955 1.07017 0.996899
6.19 1.01634 1.04036 1.0484
6.21 1.04313 1.0007 1.01792
6.23 1.04857 0.979155 1.0293
6.25 1.01494 0.988225 1.00222
6.27 1.05132 1.01318 0.996755
6.29 1.03784 0.973501 1.04509
6.31 1.00077 0.96263 1.03168
6.33 0.988136 1.01777 1.03329
6.35 0.981421 1.01757 0.963485
6.37 0.980206 1.01212 1.00056
6.39 0.991364 0.994186 0.999202
6.41 0.936283 0.972825 0.983494
6.43 0.964616 0.977078 0.980038
6.45 1.00394 0.972693 0.957237
6.47 0.978269 0.995005 0.993844
6.49 0.994642 0.981931 0.99691
6.51 0.976521 1.00428 0.997691
6.53 1.03428 1.00464 0.984249
6.55 1.04189 0.992544 0.996693
6.57 1.01882 0.952303 1.00514
6.59 1.00717 1.04443 1.01172
6.61 1.00445 1.00761 1.02955
6.63 1.02893 0.999813 1.01628
6.65 1.02356 1.02156 1.01103
6.67 1.01169 0.98914 1.01984
6.69 1.00156 1.00115 0.996038
6.71 0.973114 0.972534 0.975368
6.73 1.01452 1.04036 1.05916
6.75 1.00611 1.03838 1.01186
6.77 1.00767 1.01114 1.02869
6.79 1.00687 0.979425 0.995042
6.81 1.01072 0.963425 1.00702
6.83 0.978425 1.0446 0.972173
6.85 0.993577 1.00826 1.05337
6.87 1.00351 1.03176 1.02493
6.89 1.01564 1.01925 1.0016
6.91 1.01771 0.990797 0.997017
6.93 1.01904 0.994949 0.998137
6.95 0.994061 1.03343 1.04293
6.97 1.03943 1.0189 1.03283
6.99 1.00863 1.01603 1.02719
7.01 0.990749 1.03101 0.982201
7.03 1.00529 1.0004 1.01423
7.05 0.980978 1.02407 0.980004
7.07 1.02655 1.00816 1.00531
7.09 1.05103 1.04199 1.00659
7.11 1.07022 1.01238 0.999153
7.13 1.01433 1.00203 1.0285
7.15 1.02708 1.01143 1.03319
7.17 1.00234 1.00929 1.01993
7.19 0.996755 1.02027 1.01875
7.21 1.01666 1.02688 1.00405
7.23 1.01071 1.03651 1.06127
7.25 0.994779 1.00392 1.00339
7.27 1.02191 1.03003 1.03823
7.29 1.03808 1.00002 1.0239
7.31 1.02974 1.01 1.02559
7.33 1.05042 1.02305 0.989892
7.35 1.02925 1.03986 1.04015
7.37 1.05005 1.07323 1.03566
7.39 1.06958 1.06165 1.02893
7.41 1.01665 0.980236 1.03479
7.43 1.01478 0.980267 1.00266
7.45 0.974095 1.00087 1.02036
7.47 1.00557 1.00865 1.0116
7.49 0.964969 0.994232 0.996093
7.51 1.01314 0.987589 0.971739
