# r  g_300K  g_600K  g_900K
4.25 1.04556 1.03103 1.05302
4.27 1.10243 1.14254 1.03877
4.29 1.16433 1.03785 1.08702
4.31 1.1345 1.10661 1.19023
4.33 1.02822 1.08157 1.03764
4.35 1.06429 1.18627 0.990303
4.37 1.05855 1.0745 1.04142
4.39 1.04685 1.10956 1.09791
4.41 1.05567 1.12382 0.97998
4.43 1.06002 0.999235 1.06207
4.45 1.05842 1.1651 1.02263
4.47 1.03117 1.07597 1.05894
4.49 1.028 1.05882 1.05957
4.51 1.09189 1.0105 1.01884
4.53 1.17197 1.03241 1.1236
4.55 1.05208 1.04991 0.949421
4.57 1.07076 1.05967 1.11173
4.59 0.976395 1.12333 1.10747
4.61 1.09476 0.967201 1.13011
4.63 1.09625 1.03812 0.968746
4.65 1.07778 0.950604 1.07707
4.67 1.03447 1.04172 0.988283
4.69 1.0915 0.982801 0.983517
4.71 0.966007 1.04375 0.998473
4.73 1.03125 0.933044 1.02188
4.75 0.932346 1.05239 0.977887
4.77 0.964174 1.00566 0.945731
4.79 0.860646 0.969698 0.973874
4.81 0.870416 0.808563 0.883518
4.83 0.797786 0.850771 0.995331
4.85 0.822865 0.852077 0.903074
4.87 0.802894 0.846959 0.820333
4.89 0.762032 0.858097 0.87299
4.91 0.746213 0.826422 0.848222
4.93 0.789932 0.813391 0.80545
4.95 0.828255 0.771531 0.881427
4.97 0.826295 0.803576 0.763553
4.99 0.843341 0.80335 0.808251
5.01 0.794478 0.782798 0.787755
5.03 0.783548 0.787478 0.795541
5.05 0.781944 0.875504 0.876286
5.07 0.842725 0.794986 0.843252
5.09 0.913108 0.913568 0.906956
5.11 0.943483 0.900311 0.887734
5.13 0.968772 0.881264 0.868507
5.15 0.964121 0.919129 0.911316
5.17 0.88798 1.03286 0.877595
5.19 0.921795 0.960473 0.904686
5.21 0.962314 0.971885 0.975108
5.23 0.973456 0.934267 0.941611
5.25 0.923576 0.979914 0.948971
5.27 1.01089 0.921625 0.964437
5.29 0.888734 1.03276 0.914514
5.31 1.03459 0.992879 0.919095
5.33 0.974581 0.899606 0.990299
5.35 0.964485 0.928726 0.96076
5.37 1.01027 0.96816 0.97142
5.39 1.00805 0.996247 1.01317
5.41 1.0594 1.00234 1.02743
5.43 1.04767 0.996483 0.949966
5.45 1.02161 0.957224 0.99255
5.47 0.952729 1.05413 0.97212
5.49 1.04045 1.03749 1.01896
5.51 1.0419 1.02983 1.04156
5.53 1.01911 1.04177 1.04967
5.55 1.0104 1.01516 1.02138
5.57 1.0474 1.03702 1.06508
5.59 1.01232 1.01308 1.06272
5.61 1.00767 1.01729 1.09403
5.63 1.01897 1.04243 1.02381
5.65 1.04489 1.03498 1.03627
5.67 1.07148 1.02271 1.10291
5.69 1.04708 1.05437 1.08901
5.71 1.11296 1.11002 1.10448
5.73 1.1362 1.07345 1.00656
5.75 1.13301 1.10768 1.11113
5.77 1.10517 1.14722 1.07837
5.79 1.10342 1.07958 1.1097
5.81 1.06462 1.09551 1.05768
5.83 1.06879 1.14821 1.11109
