# theta  CCC  CCSi  SiCSi  SiNSi  CSiC  CSiN  CSiSi  NSiN  NSiSi  SiSiSi
94.5 0.000508242 0.00104428 0.000477954 0 0.0132075 0.0183061 0.0183461 0.0214852 0.0224786 0.0177976
95.5 0.000575397 0.00130242 0.000954145 0 0.0148626 0.0187328 0.0177171 0.0212776 0.0223903 0.0191229
96.5 0.00117216 0.00151211 0.00157496 0 0.0158318 0.0198882 0.0175031 0.0215491 0.022887 0.0175514
97.5 0.00140263 0.00213868 0.00245679 0 0.0163415 0.0217881 0.0176346 0.0218162 0.0218606 0.0189427
98.5 0.00139652 0.00275188 0.00476367 0 0.0146675 0.022309 0.0193337 0.0194469 0.0204681 0.0170368
99.5 0.00155678 0.00350961 0.00682363 0 0.016459 0.0238095 0.0195676 0.0204994 0.0203183 0.0173008
100.5 0.00275946 0.00474937 0.00897531 0 0.0154017 0.0229951 0.0198578 0.0200653 0.0188531 0.0159489
101.5 0.00361569 0.00592565 0.0121446 0 0.0177134 0.0223528 0.0216876 0.0221966 0.0181308 0.014345
102.5 0.00463217 0.00807185 0.0135467 1.5361e-05 0.0166897 0.0243392 0.0205511 0.0224419 0.0171163 0.0143982
103.5 0.00688645 0.00945363 0.0168289 0.000111367 0.0179085 0.0236511 0.0227716 0.0230735 0.0171841 0.0151778
104.5 0.00700855 0.0107861 0.0192698 0.000268817 0.021009 0.0238309 0.0223962 0.0209408 0.0161697 0.0154126
105.5 0.00950702 0.0130167 0.0219647 0.000333333 0.022188 0.0252789 0.0244818 0.0209524 0.0157402 0.0143579
106.5 0.00984432 0.0138521 0.0223598 0.00105453 0.0247724 0.0248134 0.023002 0.0207811 0.0145314 0.0148794
107.5 0.01087 0.0146525 0.0250688 0.00140476 0.0260898 0.0251147 0.02323 0.0216565 0.0150194 0.0172098
108.5 0.0137988 0.0157201 0.0233457 0.00179032 0.0270694 0.0248863 0.0232764 0.0225842 0.0152323 0.0168839
109.5 0.0151404 0.0150008 0.0233933 0.00211137 0.0283784 0.0253168 0.0230431 0.0217697 0.0164499 0.0181428
110.5 0.0176725 0.0171186 0.0227108 0.00198387 0.0272247 0.0255296 0.0219624 0.0219222 0.0177866 0.0188041
111.5 0.0197955 0.0191662 0.0223827 0.00175346 0.030493 0.0234781 0.0220258 0.0205212 0.0174795 0.0179123
112.5 0.0260317 0.0230309 0.0292751 0.00315131 0.0298154 0.0225889 0.0218975 0.0227599 0.0188191 0.0197137
113.5 0.0304518 0.0281738 0.0318413 0.00747619 0.0287728 0.0233479 0.0205139 0.0207303 0.017492 0.0175134
114.5 0.0379289 0.0372155 0.0389101 0.019086 0.0293812 0.0224004 0.0192667 0.0218278 0.0176002 0.0183885
115.5 0.0513675 0.047924 0.0492963 0.0410307 0.0290959 0.0205112 0.0188817 0.0200668 0.0162369 0.0184564
116.5 0.0657357 0.0633241 0.0672857 0.0765292 0.0261527 0.0196122 0.018178 0.0206954 0.0149195 0.0173575
117.5 0.0798336 0.0799708 0.0798713 0.118033 0.0241682 0.0200505 0.0180495 0.0201568 0.0140211 0.0170081
118.5 0.0958929 0.0958421 0.0846878 0.148035 0.0223705 0.0192536 0.0172834 0.0179268 0.0126414 0.0165765
119.5 0.10944 0.104338 0.0906155 0.151948 0.0186784 0.0191983 0.0162871 0.0165694 0.012823 0.0166482
120.5 0.110786 0.101099 0.0807072 0.134067 0.0167065 0.0173158 0.0170595 0.0130183 0.0128158 0.0144262
121.5 0.0935287 0.0866926 0.0653721 0.103369 0.0162345 0.0172488 0.0159215 0.0113531 0.0121513 0.0135469
122.5 0.068634 0.0657435 0.0480758 0.0739977 0.0144913 0.015035 0.0147722 0.00972125 0.011922 0.0124402
123.5 0.0459829 0.0449733 0.0341093 0.0472657 0.0143424 0.0151837 0.0146765 0.00989692 0.0116551 0.0114596
124.5 0.0270085 0.0279131 0.0206138 0.0296805 0.0142668 0.0120224 0.0127983 0.00874855 0.010309 0.00985036
125.5 0.0149679 0.016284 0.0132716 0.0177358 0.0121523 0.0123275 0.0119294 0.00667247 0.00913079 0.00864112
126.5 0.00815629 0.00860234 0.00704938 0.00921736 0.0121544 0.0107085 0.0100683 0.0066144 0.00841785 0.00764848
127.5 0.00313339 0.00427318 0.00308466 0.00480568 0.0117034 0.00979592 0.00891605 0.00627468 0.00794406 0.00707389
128.5 0.00142705 0.00167084 0.00230864 0.00174654 0.011437 0.00991545 0.00841499 0.0056417 0.0075557 0.00686748
129.5 0.000383089 0.00100334 0.000918871 0.00129263 0.00969583 0.00933916 0.00692783 0.00518438 0.0069678 0.00634489
130.5 9.61538e-05 0.000418546 0.000809524 0.000497696 0.00890707 0.00874441 0.00664971 0.00559379 0.00673651 0.0057038
131.5 3.20513e-05 0.000259816 0.000622575 9.67742e-05 0.00733166 0.0083207 0.00631417 0.00521632 0.00714065 0.00578064
132.5 0 0.00013868 0.00054321 7.98771e-05 0.00667296 0.008207 0.00659511 0.00402294 0.00627758 0.00593002
133.5 3.0525e-05 3.50877e-05 0.000513228 3.149e-05 0.00541431 0.00849174 0.00641631 0.00441783 0.0064478 0.00482641
134.5 0 3.42523e-05 0.000439153 0 0.00384938 0.00629543 0.00598921 0.00304443 0.0060857 0.00475963
135.5 0 0 0.000259259 0 0.00344871 0.00638192 0.00583442 0.00274535 0.0053421 0.004239
